wanr,waid,ElemDN,RohrDN,WNStutzen,Rohstutzen,HandschwMuffe,winkel
149245,552577,32,32,1,0,0,180
149245,552578,32,32,2,0,0,180
149266,552917,50,50,16,0,0,180
149266,552918,50,50,3,0,0,180
149266,552919,50,50,16,0,0,180
149266,552920,50,50,1,0,0,180
149266,552921,50,50,2,0,0,180
149266,552922,50,50,25,0,0,180
149266,552923,50,50,1,0,0,180
149266,552924,50,50,1,0,0,180
149266,552925,50,50,2,0,0,180
149266,554680,50,50,2,0,0,180
149266,554681,50,50,1,0,0,180
149266,554682,50,50,15,0,0,180
149278,553217,50,50,4,0,0,180
149278,553218,50,50,4,0,0,0
149278,553219,50,50,1,0,0,0
149278,553220,50,50,1,0,0,0
149278,553221,50,50,8,0,0,180
149278,553222,50,50,17,0,0,0
149278,553223,50,50,6,0,0,180
149278,553224,50,50,2,0,0,180
149278,553225,50,50,8,0,0,180
149278,553226,50,50,2,0,0,180
149278,553227,50,50,9,0,0,180
149278,553228,50,50,6,0,0,180
149278,553229,50,50,3,0,0,180
149278,553230,50,50,3,0,0,180
149278,553231,50,50,3,0,0,180
149278,553232,50,50,12,0,0,180
149278,553233,50,50,6,0,0,180
149278,553234,50,50,4,0,0,180
149278,553235,50,50,2,0,0,180
149278,553236,50,50,4,0,0,180
149278,553239,50,50,14,0,0,180
149278,553240,50,50,6,0,0,180
149278,553241,50,50,3,0,0,180
149278,553242,50,50,3,0,0,180
149288,553338,65,65,15,0,0,180
149288,553341,65,65,1,0,0,270
149288,553345,65,65,15,0,0,180
149288,553349,65,65,13,0,0,180
149288,553350,65,65,2,0,0,180
149293,553408,40,40,1,0,0,270
149293,553409,40,40,1,0,0,270
149293,553410,40,40,1,0,0,90
149293,553411,40,40,1,0,0,90
149294,553412,40,40,35,0,0,180
149294,553413,40,40,35,0,0,180
149295,553417,50,50,1,0,0,180
149295,553422,40,50,1,0,0,180
149295,553428,50,50,1,0,0,180
149295,553433,40,50,1,0,0,180
149324,554028,32,32,6,0,0,180
149324,554029,32,32,6,0,0,180
149324,554030,32,32,1,0,0,180
149324,554031,32,32,1,0,0,180
149325,554032,40,40,3,0,0,180
149325,554033,40,40,3,0,0,180
149325,554034,40,40,3,0,0,180
149325,554035,40,40,3,0,0,180
149325,554036,40,40,1,0,0,180
149325,554037,40,40,1,0,0,180
149348,554262,50,50,2,0,0,180
149348,554263,50,50,32,0,0,180
149348,554264,50,50,20,0,0,180
149348,554265,50,50,2,0,0,180
149373,554493,32,32,4,0,0,270
149373,554494,32,32,4,0,0,90
149375,554512,32,32,3,0,0,270
149375,554513,32,32,3,0,0,90
149375,554514,32,32,2,0,0,90
149375,554515,32,32,2,0,0,90
149375,554516,32,32,3,0,0,90
149375,554516,32,32,3,0,0,270
149391,554837,32,32,1,0,0,90
149399,554975,32,32,4,0,0,180
149399,554976,32,32,1,0,0,180
149403,555090,32,32,1,0,0,270
149413,555188,32,32,4,0,0,270
149413,555189,32,32,4,0,0,90
149486,556271,50,50,37,0,0,180
149486,556272,50,50,3,0,0,180
149486,556273,50,50,2,0,0,180
149488,556276,50,50,8,0,0,180
149509,556788,32,32,2,0,0,0
149509,556789,32,32,2,0,0,0
149509,556790,32,32,3,0,0,0
149509,556791,32,32,6,0,0,0
149509,556792,32,32,15,0,0,0
149509,556793,32,32,3,0,0,0
149509,556794,32,32,3,0,0,0
149509,556795,32,32,3,0,0,0
149509,556796,32,32,3,0,0,0
149509,556797,32,32,1,0,0,270
149512,556809,40,40,2,0,0,270
149512,556810,40,40,2,0,0,270
149527,557187,32,32,1,0,0,0
149527,557188,32,32,1,0,0,180
149527,557189,32,32,1,0,0,0
149527,557191,32,32,1,0,0,0
149527,557191,32,32,1,0,0,180
149527,557194,32,32,2,0,0,180
149527,557196,32,32,1,0,0,180
149527,557198,32,32,1,0,0,180
149527,557199,32,32,1,0,0,180
149527,557199,32,32,1,0,0,180
149527,557200,32,32,1,0,0,180
149527,557201,32,32,1,0,0,180
149527,557202,32,32,1,0,0,180
149540,557486,65,65,28,0,0,180
149555,557683,32,32,1,0,0,270
149555,557684,32,32,1,0,0,270
149555,557685,32,32,1,0,0,90
149555,557686,32,32,1,0,0,90
149555,557687,32,32,1,0,0,180
149555,557688,32,32,1,0,0,180
149555,557689,32,32,1,0,0,270
149555,557690,32,32,1,0,0,270
149556,557700,32,32,9,0,0,180
149556,557701,32,32,6,0,0,180
149556,557702,32,32,3,0,0,180
149556,557703,32,32,1,0,0,180
149556,557704,32,32,2,0,0,180
149556,557705,32,32,2,0,0,180
149556,557706,32,32,3,0,0,180
149556,557707,32,32,4,0,0,180
149556,557708,32,32,3,0,0,180
149556,557709,32,32,4,0,0,180
149556,557710,32,32,2,0,0,180
149556,557711,32,32,2,0,0,180
149556,557712,32,32,4,0,0,180
149556,557713,32,32,2,0,0,180
149556,557714,32,32,1,0,0,180
149556,557715,32,32,2,0,0,180
149556,557716,32,32,3,0,0,180
149556,557717,32,32,4,0,0,180
149560,557758,40,40,18,0,0,0
149563,557763,40,40,18,0,0,0
149607,558721,32,32,1,0,0,90
149607,558722,32,32,3,0,0,180
149607,558723,32,32,2,0,0,180
149607,558724,32,32,1,0,0,180
149607,558725,32,32,1,0,0,0
149607,558726,32,32,1,0,0,270
149607,558727,32,32,1,0,0,180
149607,558728,32,32,1,0,0,180
149607,558729,32,32,1,0,0,90
149607,558730,32,32,1,0,0,270
149658,560051,65,65,53,0,0,0
149658,560052,65,65,53,0,0,0
149670,560299,32,32,3,0,0,0
149670,560300,32,32,3,0,0,180
149670,560301,32,32,3,0,0,180
149670,560302,32,32,3,0,0,0
149698,560685,32,32,4,0,0,180
149698,560686,32,32,12,0,0,180
149698,560687,32,32,12,0,0,180
149727,561073,32,32,3,0,0,180
149727,561074,32,32,19,0,0,180
149727,561075,32,32,2,0,0,180
149749,561467,32,32,1,0,0,180
149749,561468,32,32,1,0,0,0
149749,561469,32,32,1,0,0,0
149749,561469,32,32,1,0,0,180
149749,561471,32,32,1,0,0,0
149749,561471,32,32,1,0,0,0
149749,561471,32,32,1,0,0,0
149749,561472,32,32,1,0,0,0
149749,561473,32,32,1,0,0,180
149749,561474,32,32,1,0,0,0
149749,561475,32,32,1,0,0,0
149749,561477,32,32,1,0,0,180
149749,561478,32,32,1,0,0,180
149751,561497,32,50,3,0,0,180
149765,561852,40,40,10,0,0,180
149765,561853,40,40,1,0,0,180
149765,561854,40,40,6,0,0,180
149765,561855,40,40,1,0,0,180
149765,561856,40,40,5,0,0,180
149815,562474,32,32,2,0,0,0
149815,562475,32,32,2,0,0,0
149815,562476,32,32,9,0,0,0
149815,562477,32,32,9,0,0,0
149815,562478,32,32,6,0,0,0
149815,562479,32,32,2,0,0,0
149815,562480,32,32,1,0,0,0
149815,562481,32,32,1,0,0,270
149815,562482,32,32,1,0,0,90
149815,562483,32,32,4,0,0,0
149815,562484,32,32,3,0,0,0
149815,562485,32,32,3,0,0,0
149815,562486,32,32,5,0,0,0
149815,562487,32,32,4,0,0,0
149815,562488,32,32,1,0,0,90
149815,562490,32,32,1,0,0,180
149815,562491,32,32,1,0,0,180
149815,562492,32,32,3,0,0,0
149815,562493,32,32,2,0,0,0
149815,562494,32,32,2,0,0,0
149815,562495,32,32,2,0,0,0
149815,562496,32,32,2,0,0,0
149815,562497,32,32,2,0,0,0
149815,562498,32,32,3,0,0,0
149815,562499,32,32,2,0,0,0
149815,562500,32,32,3,0,0,0
149815,562501,32,32,2,0,0,0
149815,562502,32,32,1,0,0,0
149820,562583,32,50,1,0,0,90
149820,562583,32,50,1,0,0,90
149820,562583,32,50,1,0,0,270
149820,562607,32,50,1,0,0,90
149820,562607,32,50,1,0,0,270
149821,562584,40,40,18,0,0,180
149821,562585,40,40,1,0,0,180
149821,562586,40,40,1,0,0,180
149821,562588,40,40,1,0,0,180
149821,562589,40,40,13,0,0,180
149821,562590,40,40,1,0,0,180
149821,562593,40,40,2,0,0,180
149821,562594,40,40,18,0,0,180
149821,562596,40,40,1,0,0,180
149821,562597,40,40,1,0,0,180
149821,562598,40,40,1,0,0,180
149821,562599,40,40,1,0,0,180
149821,562600,40,40,16,0,0,180
149821,562601,40,40,1,0,0,180
149821,562602,40,40,1,0,0,180
149821,562603,40,40,10,0,0,180
149821,562604,40,40,2,0,0,180
149821,562605,40,40,3,0,0,180
149821,562606,40,40,1,0,0,180
149830,562673,32,32,14,0,0,180
149830,562674,32,32,1,0,0,180
149830,562675,32,32,2,0,0,180
149833,562692,32,32,12,0,0,180
149833,562693,32,32,5,0,0,180
149834,562694,50,50,32,0,0,180
149837,562740,32,32,3,0,0,180
149837,562741,32,32,3,0,0,180
149837,562742,32,32,2,0,0,180
149837,562743,32,32,2,0,0,180
149837,562744,32,32,1,0,0,180
149837,562745,32,32,1,0,0,180
149837,562746,32,32,2,0,0,180
149837,562747,32,32,1,0,0,180
149839,562796,50,50,1,0,0,180
149839,562797,50,50,2,0,0,180
149841,562858,32,32,1,0,0,0
149841,562859,32,32,1,0,0,180
149841,562860,32,32,1,0,0,180
149841,562861,32,32,1,0,0,0
149851,563009,32,32,2,0,0,180
149854,563015,32,32,11,0,0,180
149854,563016,32,32,16,0,0,180
149858,563109,40,40,4,0,0,180
149858,563110,40,40,2,0,0,180
149858,563111,40,40,12,0,0,180
149858,563112,40,40,6,0,0,180
149864,563158,32,32,29,0,0,180
149864,563160,32,32,1,0,0,180
149864,563161,32,32,2,0,0,180
149865,563163,32,32,15,0,0,180
149865,563164,32,32,12,0,0,180
149865,563165,32,32,5,0,0,180
149871,563252,32,32,16,0,0,180
149871,563254,32,32,16,0,0,180
149879,563361,50,50,24,0,0,180
149882,563481,40,40,2,0,0,180
149885,563535,40,40,2,0,0,180
149885,563536,40,40,4,0,0,180
149885,563537,40,40,2,0,0,180
149885,563538,40,40,2,0,0,180
149885,563539,40,40,3,0,0,180
149885,563540,40,40,2,0,0,180
149885,563541,40,40,1,0,0,180
149899,563770,50,50,37,0,0,0
149899,563771,50,50,1,0,0,0
149899,563772,50,50,5,0,0,0
149899,563773,50,50,3,0,0,0
149899,563774,50,50,1,0,0,0
149899,563775,50,50,1,0,0,0
149899,563776,50,50,1,0,0,0
149901,563798,50,50,24,0,0,180
149901,563799,50,50,24,0,0,180
149904,563818,50,50,14,0,0,180
149904,563819,50,50,14,0,0,180
149904,563821,50,50,6,0,0,180
149904,563823,50,50,6,0,0,180
149907,563850,32,32,2,0,0,180
149907,563851,32,32,28,0,0,180
149907,563852,32,32,4,0,0,180
149919,563967,50,50,4,0,0,180
149919,563968,50,50,8,0,0,180
149946,564236,40,40,1,0,0,180
149946,564237,40,40,1,0,0,180
149946,564238,40,40,3,0,0,180
149946,564239,40,40,1,0,0,180
149946,564240,40,40,1,0,0,180
149946,564241,40,40,1,0,0,180
149947,564242,40,40,6,0,0,180
149947,564243,40,40,15,0,0,180
149947,564244,40,40,15,0,0,180
149947,564245,40,40,5,0,0,180
149947,564246,40,40,1,0,0,180
149947,564247,40,40,1,0,0,270
149947,564248,40,40,15,0,0,180
149947,564249,40,40,1,0,0,180
149947,564250,40,40,6,0,0,180
149947,564251,40,40,6,0,0,180
149947,564252,40,40,1,0,0,180
149947,564253,40,40,1,0,0,180
149951,564305,50,50,1,0,0,180
149951,564306,50,50,5,0,0,180
149951,564307,50,50,2,0,0,180
149951,564308,50,50,4,0,0,180
149955,564332,40,40,51,0,0,180
149955,564333,40,40,3,0,0,180
149955,564334,40,40,3,0,0,180
149957,564375,32,32,1,0,0,180
149957,564376,32,32,3,0,0,180
149957,564377,32,32,3,0,0,180
149957,564378,32,32,1,0,0,180
149957,564379,32,32,1,0,0,180
149957,564380,32,32,3,0,0,180
149968,564508,40,40,1,0,0,270
149970,564518,40,40,1,0,0,90
149975,564567,40,40,1,0,0,90
149975,564568,40,40,1,0,0,270
149995,565001,32,32,20,0,0,180
149996,565002,32,32,6,0,0,180
149996,565003,32,32,6,0,0,180
149996,565004,32,32,2,0,0,180
150048,565874,32,32,7,0,0,180
150048,565875,32,32,5,0,0,180
150048,565876,32,32,8,0,0,180
150051,565936,40,40,14,0,0,180
150053,565939,32,32,12,0,0,180
150060,566177,32,32,5,0,0,0
150060,566178,32,32,1,0,0,0
150060,566179,32,32,3,0,0,0
150060,566180,32,32,9,0,0,0
150060,566181,32,32,6,0,0,0
150060,566182,32,32,3,0,0,0
150060,566183,32,32,1,0,0,0
150060,566184,32,32,1,0,0,0
150060,566185,32,32,1,0,0,0
150060,566186,32,32,4,0,0,180
150060,566187,32,32,2,0,0,180
150060,566188,32,32,1,0,0,180
150060,566189,32,32,1,0,0,180
150060,566190,32,32,8,0,0,0
150060,566191,32,32,5,0,0,0
150060,566192,32,32,3,0,0,0
150060,566193,32,32,6,0,0,0
150060,566194,32,32,4,0,0,0
150060,566195,32,32,4,0,0,0
150060,566196,32,32,1,0,0,90
150060,566196,32,32,1,0,0,0
150060,566197,32,32,1,0,0,0
150060,566198,32,32,1,0,0,270
150060,566199,32,32,2,0,0,0
150060,566200,32,32,1,0,0,0
150060,566201,32,32,1,0,0,270
150060,566202,32,32,1,0,0,270
150060,566203,32,32,1,0,0,270
150060,566204,32,32,1,0,0,270
150060,566205,32,32,1,0,0,270
150062,566213,32,32,2,0,0,180
150062,566214,32,32,1,0,0,90
150064,566227,32,32,3,0,0,90
150070,566335,32,32,1,0,0,0
150104,567229,50,50,3,0,0,180
150104,567230,50,50,2,0,0,180
150104,567231,50,50,3,0,0,180
150134,567752,32,32,7,0,0,180
150134,567753,32,32,3,0,0,180
150134,567754,32,32,6,0,0,180
150134,567755,32,32,1,0,0,180
150136,567775,32,32,2,0,0,180
150136,567776,32,32,1,0,0,180
150138,567800,40,40,20,0,0,180
150138,567801,40,40,4,0,0,180
150138,567802,40,40,8,0,0,180
150138,567803,40,40,32,0,0,180
150138,567804,40,40,24,0,0,180
150143,567932,65,65,8,0,0,0
150143,567933,65,65,16,0,0,0
150178,568499,40,40,7,0,0,270
150178,568499,40,40,7,0,0,270
150178,568500,40,40,9,0,0,90
150178,568501,40,40,3,0,0,90
150178,568502,40,40,3,0,0,90
150178,568503,40,40,1,0,0,90
150192,568718,32,32,5,0,0,180
150192,568719,32,32,5,0,0,180
150192,568720,32,32,5,0,0,0
150201,568823,32,32,12,0,0,270
150201,568824,32,32,12,0,0,90
150216,569068,32,32,3,0,0,180
150216,569069,32,32,3,0,0,180
150216,569070,32,32,4,0,0,180
150216,569071,32,32,4,0,0,180
150216,569072,32,32,3,0,0,180
150224,569146,32,32,1,0,0,270
150225,569147,32,40,1,0,0,90
150228,569162,32,32,1,0,0,90
150231,569188,32,32,1,0,0,270
150241,569349,32,32,7,0,0,180
150241,569350,32,32,1,0,0,180
150241,569351,32,32,1,0,0,180
150241,569352,32,32,1,0,0,180
150241,569353,32,32,1,0,0,180
150241,569354,32,32,1,0,0,180
150241,569355,32,32,1,0,0,180
150241,569356,32,32,6,0,0,180
150253,569612,32,32,1,0,0,0
150253,569613,40,32,1,0,0,180
150253,569615,40,32,1,0,0,180
150257,569699,32,32,11,0,0,180
150257,569700,32,32,3,0,0,180
150257,569701,32,32,3,0,0,180
150257,569702,32,32,1,0,0,180
150257,569703,32,32,2,0,0,180
150257,569704,32,32,4,0,0,180
150257,569705,32,32,1,0,0,180
150257,569706,32,32,1,0,0,180
150257,569707,32,32,2,0,0,180
150257,569708,32,32,1,0,0,180
150257,569709,32,32,2,0,0,180
150269,569909,32,32,8,0,0,90
150269,569910,32,32,6,0,0,90
150269,569911,32,32,8,0,0,90
150269,569912,32,32,8,0,0,90
150269,569915,32,32,4,0,0,0
150269,569915,32,32,4,0,0,0
150269,569916,32,32,6,0,0,90
150269,569917,32,32,6,0,0,90
150269,569918,32,32,2,0,0,90
150269,569921,32,32,2,0,0,90
150269,569922,32,32,1,0,0,90
150280,570219,32,32,1,0,0,180
150280,570220,32,32,1,0,0,180
150280,570221,32,32,1,0,0,180
