wanr,waid,ElemDN,RohrDN,WNStutzen,Rohstutzen,HandschwMuffe,winkel
150134,567753,0,32,3,0,0,180
150134,567754,0,32,6,0,0,180
150134,567755,0,32,1,0,0,180
150136,567775,0,32,2,0,0,180
150136,567776,0,32,1,0,0,180
150138,567802,0,40,8,0,0,180
150138,567804,0,40,24,0,0,180
150138,567801,0,40,4,0,0,180
150138,567803,0,40,32,0,0,180
150138,567800,0,40,20,0,0,180
150192,568718,0,32,5,0,0,180
150192,568719,0,32,5,0,0,180
150192,568720,0,32,5,0,0,0
150178,568499,0,40,7,0,0,270
150178,568499,0,40,7,0,0,270
150178,568501,0,40,3,0,0,90
150178,568500,0,40,9,0,0,90
150178,568503,0,40,1,0,0,90
150178,568502,0,40,3,0,0,90
150224,569146,0,32,1,0,0,270
150225,569147,0,40,1,0,0,90
150231,569188,0,32,1,0,0,270
150241,569349,0,32,7,0,0,180
150241,569350,0,32,1,0,0,180
150241,569351,0,32,1,0,0,180
150241,569352,0,32,1,0,0,180
150241,569353,0,32,1,0,0,180
150241,569354,0,32,1,0,0,180
150241,569355,0,32,1,0,0,180
150201,568824,0,32,12,0,0,90
150201,568823,0,32,12,0,0,270
150241,569356,0,32,6,0,0,180
150216,569069,0,32,3,0,0,180
150216,569071,0,32,4,0,0,180
150216,569070,0,32,4,0,0,180
150216,569072,0,32,3,0,0,180
150216,569068,0,32,3,0,0,180
150257,569699,0,32,11,0,0,180
150257,569700,0,32,3,0,0,180
150257,569701,0,32,3,0,0,180
150257,569702,0,32,1,0,0,180
150257,569703,0,32,2,0,0,180
150257,569704,0,32,4,0,0,180
150257,569705,0,32,1,0,0,180
150257,569706,0,32,1,0,0,180
150257,569707,0,32,2,0,0,180
150257,569708,0,32,1,0,0,180
150257,569709,0,32,2,0,0,180
150253,569612,0,32,1,0,0,0
150253,569615,0,32,1,0,0,180
150253,569613,0,32,1,0,0,180
150228,569162,0,32,1,0,0,90
150269,569922,0,32,1,0,0,90
150269,569921,0,32,2,0,0,90
150269,569918,0,32,2,0,0,90
150269,569917,0,32,6,0,0,90
150269,569916,0,32,6,0,0,90
150269,569910,0,32,6,0,0,90
150269,569909,0,32,8,0,0,90
150269,569912,0,32,8,0,0,90
150269,569911,0,32,8,0,0,90
150269,569915,0,32,4,0,0,0
150269,569915,0,32,4,0,0,0
150280,570219,0,32,1,0,0,180
150280,570220,0,32,1,0,0,180
150280,570221,0,32,1,0,0,180
150294,570414,0,32,2,0,0,90
150294,570415,0,32,6,0,0,270
150294,570416,0,32,4,0,0,90
150294,570417,0,32,2,0,0,270
