wanr,waid,classid,sdauftragsnr,sdpositionsnr,sdmaterialnr,kcauftragsnr,kcposnr,pspelement,posnr,dnvl,Rohrlaenge,rohrquali,Rohranfang,Rohrende,strdeleid,Rohrdurchmesser,AnzahlRohre,beschbez,Nippel,Bohrung,Muffe
82955,578432,VerteilerData,869850,10,400010,4200306531,10,1030782000,R4,100,4929,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,100,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
82955,578437,VerteilerData,869850,10,400010,4200306531,10,1030782000,V1,100,4929,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,100,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
82955,578429,VerteilerData,869850,10,400010,4200306531,10,1030782000,R1,80,4931,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,80,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
82955,578440,VerteilerData,869850,10,400010,4200306531,10,1030782000,V4,100,4933,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,100,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
82955,578431,VerteilerData,869850,10,400010,4200306531,10,1030782000,R3,80,4934,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,80,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
82955,578439,VerteilerData,869850,10,400010,4200306531,10,1030782000,V3,100,4936,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,100,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
82955,578441,VerteilerData,869850,10,400010,4200306531,10,1030782000,V5,100,4936,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,100,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
82955,578435,VerteilerData,869850,10,400010,4200306531,10,1030782000,S6,40,5362,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,40,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,2
82955,578436,VerteilerData,869850,10,400010,4200306531,10,1030782000,S14,40,5462,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,40,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,4
82959,578491,VerteilerData,869858,30,400010,4200306554,30,1030090000,P22.A,32,600,"DINEN10217-1-Fe -glatt",Nut,Scheibe,NULL,32,1,"weissaluminium gepulvert (RAL 9006)",0,0,1
82959,578489,VerteilerData,869858,30,400010,4200306554,30,1030090000,P11,32,730,"DINEN10217-1-Fe -glatt",Nut,Scheibe,NULL,32,1,"weissaluminium gepulvert (RAL 9006)",0,0,1
82959,578488,VerteilerData,869858,30,400010,4200306554,30,1030090000,P8.D,32,930,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,32,2,"weissaluminium gepulvert (RAL 9006)",0,0,2
82959,578490,VerteilerData,869858,30,400010,4200306554,30,1030090000,P12,32,930,"DINEN10217-1-Fe -glatt",Nut,Scheibe,NULL,32,1,"weissaluminium gepulvert (RAL 9006)",0,0,1
82959,578484,VerteilerData,869858,30,400010,4200306554,30,1030090000,P7.C,32,955,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,32,2,"weissaluminium gepulvert (RAL 9006)",0,0,2
82962,578554,VerteilerData,869925,20,400010,4200306616,20,1030090000,P8,32,680,"DINEN10217-1-Fe -glatt",Nut,Scheibe,NULL,32,1,"weissaluminium gepulvert (RAL 9006)",0,0,1
82966,578606,PumpenprobierleitungData,869971,10,400010,4200306635,10,1031122000,P1,100,1855,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,100,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,2
82969,578617,VerteilerData,869985,10,400011,4200306637,10,1030840000,2,80,150,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,80,1,verzinkt,0,0,1
82969,578618,VerteilerData,869985,10,400011,4200306637,10,1030840000,3,80,362,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,80,1,verzinkt,0,0,1
82971,578625,VerteilerData,869970,1730,400010,4200306785,1730,1030728000,P1,150,2350,"DINEN10217-1-Fe -glatt",Scheibe,Scheibe,NULL,150,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
82972,578628,PumpenverteilerData,869970,1740,400010,869970,1740,1030728000,P4,125,806,"DINEN10217-1-Fe -glatt",Flachflansch,Nut,NULL,125,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",1,0,1
82973,578629,PumpenprobierleitungData,869970,1750,400010,869970,1750,1030728000,P5,150,2645,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,150,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,2
82979,578688,VerteilerData,870058,20,400010,4200306707,20,1030426000,S9,65,5998,"DINEN10217-1-Fe -glatt",Nut,Nut,NULL,65,6,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,18
82986,578771,VerteilerData,869141,10,400010,4200305965,10,0000000000,1,200,910,"DINEN10217-1-Fe -glatt",Nut,Flachflansch,NULL,200,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
82987,578829,VerteilerData,869393,20,400040,4200306241,20,1030833000,1,100,1344,"DINEN10217-1-Fe -glatt",Flachflansch,Flachflansch,NULL,100,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
82988,578841,VerteilerData,869393,10,400041,4200306241,10,1030833000,7,80,2069,"DINEN10217-1-Fe -glatt",Glatt,Flachflansch,NULL,80,1,verzinkt,0,0,1
82988,578839,VerteilerData,869393,10,400041,4200306241,10,1030833000,5,80,6000,"DINEN10217-1-Fe -glatt",Flachflansch,Flachflansch,NULL,80,1,verzinkt,0,0,1
82988,578833,VerteilerData,869393,10,400041,4200306241,10,1030833000,2,100,6720,"DINEN10217-1-Fe -glatt",Glatt,Glatt,NULL,100,1,verzinkt,0,0,1
82993,578776,VerteilerData,870140,10,400010,4200306780,10,1029710000,4-VT,250,2173,"DINEN10217-1-Fe -glatt",Boden,Flachflansch,NULL,250,1,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,1
82998,578783,VerteilerData,870176,10,400010,4200306828,10,1030995000,14,40,692,"DINEN10217-1-Fe -glatt",Nut,Scheibe,NULL,40,14,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,14
82998,578782,VerteilerData,870176,10,400010,4200306828,10,1030995000,13,40,1365,"DINEN10217-1-Fe -glatt",Nut,Scheibe,NULL,40,7,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,7
82998,578784,VerteilerData,870176,10,400010,4200306828,10,1030995000,15,40,1373,"DINEN10217-1-Fe -glatt",Nut,Scheibe,NULL,40,8,"rot gepulvert (ähnlich RAL 3000 feuerrot)",0,0,8
